City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Georgetown,MY,2022-04-01 17:23:58,5.4112,100.3354,80.53,88,20,3.44,few clouds,0.0,0.0
1,Laguna De Perlas,NI,2022-04-01 17:23:59,12.3429,-83.6712,86.09,70,75,11.45,broken clouds,0.0,0.0
2,Ushuaia,AR,2022-04-01 17:22:42,-54.8,-68.3,46.02,87,75,19.57,broken clouds,0.0,0.0
3,Port Elizabeth,ZA,2022-04-01 17:23:59,-33.918,25.5701,66.09,78,0,14.97,clear sky,0.0,0.0
4,Pacific Grove,US,2022-04-01 17:24:00,36.6177,-121.9166,56.55,86,40,5.01,scattered clouds,0.0,0.0
5,Atuona,PF,2022-04-01 17:22:50,-9.8,-139.0333,78.21,73,48,5.91,scattered clouds,0.0,0.0
6,Barrow,US,2022-04-01 17:24:00,71.2906,-156.7887,-11.18,70,0,18.41,clear sky,0.0,0.0
7,San Patricio,US,2022-04-01 17:24:01,28.017,-97.5169,80.69,41,76,16.6,broken clouds,0.0,0.0
8,Coatepec,MX,2022-04-01 17:24:01,19.45,-96.9667,80.37,47,35,7.4,scattered clouds,0.0,0.0
9,Hithadhoo,MV,2022-04-01 17:24:02,-0.6,73.0833,83.55,71,9,7.52,clear sky,0.0,0.0
10,Kapaa,US,2022-04-01 17:24:03,22.0752,-159.319,73.18,87,40,17.27,scattered clouds,0.0,0.0
11,Codrington,AU,2022-04-01 17:24:03,-38.2667,141.9667,55.26,76,92,8.39,overcast clouds,0.0,0.0
12,Busselton,AU,2022-04-01 17:24:04,-33.65,115.3333,69.58,81,65,5.99,broken clouds,0.0,0.0
13,Mataura,NZ,2022-04-01 17:22:53,-46.1927,168.8643,39.07,99,6,1.7,clear sky,0.0,0.0
14,New Norfolk,AU,2022-04-01 17:24:04,-42.7826,147.0587,53.1,72,100,1.99,overcast clouds,0.0,0.0
15,Kodiak,US,2022-04-01 17:24:05,57.79,-152.4072,36.91,100,100,11.5,light rain,0.0,0.0
16,Akyab,MM,2022-04-01 17:24:05,20.15,92.9,78.96,85,19,4.05,few clouds,0.0,0.0
17,Hambantota,LK,2022-04-01 17:24:06,6.1241,81.1185,80.22,80,14,7.14,few clouds,0.0,0.0
18,Mahibadhoo,MV,2022-04-01 17:24:06,3.7833,72.9667,83.95,65,7,1.63,clear sky,0.0,0.0
19,Svetlogorsk,BY,2022-04-01 17:24:07,52.6333,29.7333,33.93,97,100,14.92,overcast clouds,0.0,0.0
20,Tuktoyaktuk,CA,2022-04-01 17:24:07,69.4541,-133.0374,-23.8,69,0,5.75,clear sky,0.0,0.0
21,Chuy,UY,2022-04-01 17:23:59,-33.6971,-53.4616,66.24,45,26,9.33,scattered clouds,0.0,0.0
22,Orahovac,XK,2022-04-01 17:24:08,42.3994,20.6547,55.26,85,94,7.49,overcast clouds,0.0,0.0
23,San Quintin,MX,2022-04-01 17:24:09,30.4833,-115.95,61.34,60,53,4.68,broken clouds,0.0,0.0
24,Chara,RU,2022-04-01 17:24:09,56.9064,118.2631,15.3,77,100,2.06,overcast clouds,0.0,0.0
25,Nanortalik,GL,2022-04-01 17:24:10,60.1432,-45.2371,41.25,75,66,6.11,broken clouds,0.0,0.0
26,North Bend,US,2022-04-01 17:22:15,43.4065,-124.2243,51.17,93,0,0.0,clear sky,0.0,0.0
27,Teknaf,BD,2022-04-01 17:24:12,20.8624,92.3058,76.41,87,7,2.51,clear sky,0.0,0.0
28,Victoria,HK,2022-04-01 17:22:44,22.2855,114.1577,62.33,84,100,7.0,overcast clouds,0.0,0.0
29,Katsuura,JP,2022-04-01 17:24:12,35.1333,140.3,44.83,59,99,11.05,overcast clouds,0.0,0.0
30,Jalingo,NG,2022-04-01 17:24:13,8.8833,11.3667,98.71,8,97,4.81,overcast clouds,0.0,0.0
31,Puerto Madryn,AR,2022-04-01 17:20:57,-42.7692,-65.0385,77.2,15,93,18.45,overcast clouds,0.0,0.0
32,Sao Francisco De Assis,BR,2022-04-01 17:21:55,-29.5503,-55.1311,68.77,41,0,12.26,clear sky,0.0,0.0
33,Yellowknife,CA,2022-04-01 17:22:38,62.456,-114.3525,-7.58,66,40,10.36,scattered clouds,0.0,0.0
34,Ribeira Grande,PT,2022-04-01 17:24:14,38.5167,-28.7,61.2,82,75,20.71,broken clouds,0.0,0.0
35,Marondera,ZW,2022-04-01 17:24:14,-18.1853,31.5519,62.71,75,100,4.38,light rain,0.0,0.0
36,Luderitz,NA,2022-04-01 17:24:14,-26.6481,15.1594,68.7,56,0,26.26,clear sky,0.0,0.0
37,Rikitea,PF,2022-04-01 17:24:15,-23.1203,-134.9692,76.14,59,81,16.96,broken clouds,0.0,0.0
38,Kemijarvi,FI,2022-04-01 17:24:15,66.7131,27.4306,20.25,87,100,3.51,overcast clouds,0.0,0.0
39,Motygino,RU,2022-04-01 17:24:16,58.1831,94.7592,22.59,98,100,2.46,overcast clouds,0.0,0.0
40,Ilulissat,GL,2022-04-01 17:24:17,69.2167,-51.1,26.62,74,20,3.44,few clouds,0.0,0.0
41,Arraial Do Cabo,BR,2022-04-01 17:24:17,-22.9661,-42.0278,78.76,83,75,11.5,broken clouds,0.0,0.0
42,Alvdal,NO,2022-04-01 17:24:18,62.1077,10.6307,23.9,80,94,3.58,overcast clouds,0.0,0.0
43,Punta Arenas,CL,2022-04-01 17:24:18,-53.15,-70.9167,48.22,76,75,23.02,light intensity shower rain,0.0,0.0
44,Chingirlau,KZ,2022-04-01 17:24:19,51.095,54.0814,50.07,74,100,12.24,overcast clouds,0.0,0.0
45,Butaritari,KI,2022-04-01 17:24:20,3.0707,172.7902,80.98,78,79,19.51,light rain,0.0,0.0
46,Airai,TL,2022-04-01 17:22:17,-8.9266,125.4092,57.42,85,82,1.99,broken clouds,0.0,0.0
47,Aklavik,CA,2022-04-01 17:24:20,68.2191,-135.0107,-20.2,76,0,2.3,clear sky,0.0,0.0
48,Qaanaaq,GL,2022-04-01 17:22:45,77.484,-69.3632,19.99,93,100,5.95,overcast clouds,0.0,0.0
49,Albany,US,2022-04-01 17:23:46,42.6001,-73.9662,46.63,81,97,4.0,light rain,0.0,0.0
50,Trelew,AR,2022-04-01 17:24:21,-43.249,-65.3051,79.88,10,87,19.24,overcast clouds,0.0,0.0
51,Hilo,US,2022-04-01 17:24:21,19.7297,-155.09,73.62,92,0,0.0,clear sky,0.0,0.0
52,Russell,US,2022-04-01 17:24:22,32.3502,-85.1999,69.08,41,0,10.36,clear sky,0.0,0.0
53,Coihaique,CL,2022-04-01 17:24:22,-45.5752,-72.0662,62.55,45,40,9.22,scattered clouds,0.0,0.0
54,Avarua,CK,2022-04-01 17:24:23,-21.2078,-159.775,73.45,94,43,1.14,scattered clouds,0.0,0.0
55,Tiksi,RU,2022-04-01 17:24:23,71.6872,128.8694,15.12,93,100,6.13,overcast clouds,0.0,0.0
56,Carballo,ES,2022-04-01 17:24:24,43.213,-8.691,53.01,63,67,10.31,broken clouds,0.0,0.0
57,Chokurdakh,RU,2022-04-01 17:24:24,70.6333,147.9167,-26.41,100,12,3.29,few clouds,0.0,0.0
58,Sawtell,AU,2022-04-01 17:24:25,-30.3833,153.1,60.19,94,100,5.75,overcast clouds,0.0,0.0
59,Bengkulu,ID,2022-04-01 17:23:35,-3.8004,102.2655,76.59,82,77,4.52,broken clouds,0.0,0.0
60,Bredasdorp,ZA,2022-04-01 17:24:25,-34.5322,20.0403,64.06,74,31,12.77,light rain,0.0,0.0
61,Mordovo,RU,2022-04-01 17:24:26,52.0834,40.77,42.71,92,100,9.19,light rain,0.0,0.0
62,Severnoye,RU,2022-04-01 17:24:26,56.3491,78.3619,32.54,97,100,13.4,light snow,0.0,0.0
63,Hobart,AU,2022-04-01 17:19:41,-42.8794,147.3294,53.46,89,100,8.05,overcast clouds,0.0,0.0
64,Havre-Saint-Pierre,CA,2022-04-01 17:24:27,50.2334,-63.5986,32.36,100,100,19.57,mist,0.0,0.0
65,Necochea,AR,2022-04-01 17:24:27,-38.5473,-58.7368,67.48,37,19,9.17,few clouds,0.0,0.0
66,Olafsvik,IS,2022-04-01 17:24:29,64.8945,-23.7142,40.91,90,100,7.61,overcast clouds,0.0,0.0
67,Laguna,US,2022-04-01 17:24:29,38.421,-121.4238,66.97,66,0,8.05,clear sky,0.0,0.0
68,Taoudenni,ML,2022-04-01 17:21:11,22.6783,-3.9836,93.4,4,98,2.82,overcast clouds,0.0,0.0
69,Vestmannaeyjar,IS,2022-04-01 17:24:30,63.4427,-20.2734,47.39,76,40,4.61,scattered clouds,0.0,0.0
70,Acari,PE,2022-04-01 17:23:12,-15.4311,-74.6158,80.33,52,80,10.71,broken clouds,0.0,0.0
71,Puerto Ayora,EC,2022-04-01 17:22:30,-0.7393,-90.3518,84.16,89,44,5.99,scattered clouds,0.0,0.0
72,Sinnamary,GF,2022-04-01 17:24:31,5.3833,-52.95,76.17,94,100,10.78,moderate rain,0.0,0.0
73,Sitka,US,2022-04-01 17:24:31,57.0531,-135.33,40.89,81,100,4.61,light rain,0.0,0.0
74,Yulara,AU,2022-04-01 17:24:32,-25.2406,130.9889,60.51,33,100,9.31,overcast clouds,0.0,0.0
75,Nikolskoye,RU,2022-04-01 17:24:32,59.7035,30.7861,30.7,93,75,3.58,broken clouds,0.0,0.0
76,Thanatpin,MM,2022-04-01 17:24:33,17.2119,96.3033,84.38,53,35,7.23,scattered clouds,0.0,0.0
77,Balykshi,KZ,2022-04-01 17:24:34,47.0667,51.8667,46.4,66,0,6.71,clear sky,0.0,0.0
78,Peniche,PT,2022-04-01 17:22:22,39.3558,-9.3811,59.07,60,42,20.07,scattered clouds,0.0,0.0
79,Olinda,BR,2022-04-01 17:24:34,-8.0089,-34.8553,85.73,70,40,11.5,scattered clouds,0.0,0.0
80,Sheridan,US,2022-04-01 17:24:34,44.8333,-106.9173,44.98,33,0,18.41,clear sky,0.0,0.0
81,Kavieng,PG,2022-04-01 17:24:35,-2.5744,150.7967,81.63,78,100,9.89,light rain,0.0,0.0
82,Sao Miguel Do Araguaia,BR,2022-04-01 17:24:36,-13.275,-50.1628,86.27,58,28,3.49,scattered clouds,0.0,0.0
83,Umm Lajj,SA,2022-04-01 17:24:36,25.0213,37.2685,80.24,48,21,9.57,few clouds,0.0,0.0
84,Hermanus,ZA,2022-04-01 17:24:37,-34.4187,19.2345,63.81,77,9,17.65,clear sky,0.0,0.0
85,Opuwo,NA,2022-04-01 17:24:39,-18.0607,13.84,80.26,49,100,4.85,overcast clouds,0.0,0.0
86,Barra,BR,2022-04-01 17:24:39,-11.0894,-43.1417,93.45,30,28,5.28,scattered clouds,0.0,0.0
87,Nsanje,MW,2022-04-01 17:24:40,-16.92,35.262,74.43,96,17,3.49,few clouds,0.0,0.0
88,Vaini,TO,2022-04-01 17:24:41,-21.2,-175.2,75.36,94,40,2.3,scattered clouds,0.0,0.0
89,Roald,NO,2022-04-01 17:24:41,62.5833,6.1333,42.1,52,21,3.44,few clouds,0.0,0.0
90,Bluff,NZ,2022-04-01 17:24:42,-46.6,168.3333,51.12,72,9,10.4,clear sky,0.0,0.0
91,Jamestown,US,2022-04-01 17:24:42,42.097,-79.2353,34.02,70,100,19.57,overcast clouds,0.0,0.0
92,Tigil,RU,2022-04-01 17:24:43,57.8,158.6667,13.44,96,100,3.42,light snow,0.0,0.0
93,Ambilobe,MG,2022-04-01 17:24:44,-13.2,49.05,75.07,91,96,2.68,light rain,0.0,0.0
94,Karakol,KG,2022-04-01 17:24:44,42.4907,78.3936,39.04,50,18,5.28,few clouds,0.0,0.0
95,Thunder Bay,CA,2022-04-01 17:20:35,48.4001,-89.3168,33.78,40,66,2.3,broken clouds,0.0,0.0
96,Upernavik,GL,2022-04-01 17:24:45,72.7868,-56.1549,12.78,92,86,5.68,overcast clouds,0.0,0.0
97,Perehonivka,UA,2022-04-01 17:24:46,48.5355,30.5192,64.22,50,100,13.65,overcast clouds,0.0,0.0
98,Angoche,MZ,2022-04-01 17:24:46,-16.2325,39.9086,79.16,75,4,6.2,clear sky,0.0,0.0
99,Sabratah,LY,2022-04-01 17:24:47,32.7933,12.4885,70.74,43,24,9.22,few clouds,0.0,0.0
100,Isangel,VU,2022-04-01 17:24:48,-19.55,169.2667,79.84,88,70,6.15,broken clouds,0.0,0.0
101,Cherskiy,RU,2022-04-01 17:24:49,68.75,161.3,-28.21,100,95,2.75,overcast clouds,0.0,0.0
102,Port Alfred,ZA,2022-04-01 17:24:51,-33.5906,26.891,62.19,95,100,1.99,light rain,0.0,0.0
103,Provideniya,RU,2022-04-01 17:24:51,64.3833,-173.3,19.69,92,100,10.27,overcast clouds,0.0,0.0
104,Krasnoselkup,RU,2022-04-01 17:24:52,65.7,82.4667,12.18,94,100,10.51,overcast clouds,0.0,0.0
105,Cabo San Lucas,MX,2022-04-01 17:23:54,22.8909,-109.9124,83.61,35,20,9.22,few clouds,0.0,0.0
106,Saskylakh,RU,2022-04-01 17:24:53,71.9167,114.0833,0.54,98,98,5.66,overcast clouds,0.0,0.0
107,Mar Del Plata,AR,2022-04-01 17:24:53,-38.0023,-57.5575,68.02,56,0,10.36,clear sky,0.0,0.0
108,Cape Town,ZA,2022-04-01 17:21:56,-33.9258,18.4232,66.11,78,20,23.02,few clouds,0.0,0.0
109,Mana,GF,2022-04-01 17:24:54,5.6592,-53.7767,79.23,86,98,8.5,overcast clouds,0.0,0.0
110,Sao Filipe,CV,2022-04-01 17:22:47,14.8961,-24.4956,71.73,78,26,14.45,scattered clouds,0.0,0.0
111,Mahebourg,MU,2022-04-01 17:24:55,-20.4081,57.7,77.29,94,75,17.27,light intensity shower rain,0.0,0.0
112,Namatanai,PG,2022-04-01 17:23:12,-3.6667,152.4333,79.23,83,100,5.84,moderate rain,0.0,0.0
113,Norman Wells,CA,2022-04-01 17:20:22,65.282,-126.8329,-21.96,69,20,2.3,few clouds,0.0,0.0
114,Severo-Kurilsk,RU,2022-04-01 17:24:55,50.6789,156.125,27.19,63,85,21.63,overcast clouds,0.0,0.0
115,Otukpo,NG,2022-04-01 17:24:56,7.1913,8.1329,100.31,21,95,4.52,overcast clouds,0.0,0.0
116,Tambopata,PE,2022-04-01 17:24:57,-12.7333,-69.1833,71.49,56,0,10.36,clear sky,0.0,0.0
117,Sangar,RU,2022-04-01 17:24:57,63.9242,127.4739,16.3,92,100,16.73,light snow,0.0,0.0
118,Praia,CV,2022-04-01 17:24:59,14.9215,-23.5087,81.14,57,0,6.91,clear sky,0.0,0.0
119,Mingguang,CN,2022-04-01 17:24:59,32.7802,117.9638,44.46,65,97,5.73,overcast clouds,0.0,0.0
120,Dikson,RU,2022-04-01 17:25:00,73.5069,80.5464,1.44,93,100,7.78,overcast clouds,0.0,0.0
121,Sur,OM,2022-04-01 17:25:01,22.5667,59.5289,81.77,41,0,0.81,clear sky,0.0,0.0
122,Huangpi,CN,2022-04-01 17:25:01,30.8845,114.3779,53.71,58,0,4.47,clear sky,0.0,0.0
123,Naze,JP,2022-04-01 17:21:21,28.3667,129.4833,61.72,71,100,15.39,overcast clouds,0.0,0.0
124,Doka,SD,2022-04-01 17:25:02,13.5167,35.7667,96.21,10,5,8.23,clear sky,0.0,0.0
125,Barentu,ER,2022-04-01 17:25:02,15.1139,37.5928,85.86,22,18,12.62,few clouds,0.0,0.0
126,Begoro,GH,2022-04-01 17:25:03,6.3871,-0.3774,79.32,76,100,7.07,moderate rain,0.0,0.0
127,Camocim,BR,2022-04-01 17:25:03,-2.9022,-40.8411,80.51,78,99,5.95,overcast clouds,0.0,0.0
128,Saldanha,ZA,2022-04-01 17:25:04,-33.0117,17.9442,66.25,78,68,25.64,broken clouds,0.0,0.0
129,Yerbogachen,RU,2022-04-01 17:25:04,61.2767,108.0108,20.82,94,100,11.45,light snow,0.0,0.0
130,Shingu,JP,2022-04-01 17:25:05,33.7333,135.9833,40.17,68,96,4.74,overcast clouds,0.0,0.0
131,Cheyenne,US,2022-04-01 17:25:05,41.14,-104.8203,43.77,63,75,20.0,broken clouds,0.0,0.0
132,Chumikan,RU,2022-04-01 17:25:05,54.7183,135.315,10.24,89,10,11.41,clear sky,0.0,0.0
133,Fortuna,US,2022-04-01 17:22:19,40.5982,-124.1573,53.92,82,40,8.05,scattered clouds,0.0,0.0
134,Husavik,IS,2022-04-01 17:25:06,66.0449,-17.3389,37.74,86,73,5.14,broken clouds,0.0,0.0
135,Boca Do Acre,BR,2022-04-01 17:25:06,-8.7522,-67.3978,68.67,81,100,5.95,overcast clouds,0.0,0.0
136,Kuching,MY,2022-04-01 17:25:07,1.55,110.3333,77.22,94,20,1.99,few clouds,0.0,0.0
137,Hanstholm,DK,2022-04-01 17:25:07,57.1167,8.6167,37.62,50,0,11.92,clear sky,0.0,0.0
138,Kautokeino,NO,2022-04-01 17:25:08,69.0125,23.0412,20.57,81,100,11.27,overcast clouds,0.0,0.0
139,Narsaq,GL,2022-04-01 17:25:08,60.9167,-46.05,52.02,52,83,12.95,broken clouds,0.0,0.0
140,Mandalgovi,MN,2022-04-01 17:25:09,45.7625,106.2708,32.95,38,75,10.09,broken clouds,0.0,0.0
141,Ponta Do Sol,PT,2022-04-01 17:25:09,32.6667,-17.1,66.0,80,94,2.51,overcast clouds,0.0,0.0
142,Port-Cartier,CA,2022-04-01 17:25:10,50.0334,-66.8654,32.22,97,100,16.17,light snow,0.0,0.0
143,Dunedin,NZ,2022-04-01 17:23:19,-45.8742,170.5036,49.8,86,0,5.48,clear sky,0.0,0.0
144,Khatanga,RU,2022-04-01 17:25:10,71.9667,102.5,2.16,97,99,6.08,overcast clouds,0.0,0.0
145,Carnarvon,AU,2022-04-01 17:25:11,-24.8667,113.6333,75.27,94,100,9.22,overcast clouds,0.0,0.0
146,Joao Pinheiro,BR,2022-04-01 17:25:11,-17.7425,-46.1725,88.34,33,23,4.97,few clouds,0.0,0.0
147,Saint-Philippe,RE,2022-04-01 17:25:11,-21.3585,55.7679,76.59,89,100,19.64,moderate rain,0.0,0.0
148,Ciudad Bolivar,VE,2022-04-01 17:25:12,8.1222,-63.5497,96.17,32,18,10.67,few clouds,0.0,0.0
149,Coquimbo,CL,2022-04-01 17:23:21,-29.9533,-71.3436,56.93,88,100,9.22,overcast clouds,0.0,0.0
150,Ancud,CL,2022-04-01 17:25:12,-41.8697,-73.8203,57.6,75,27,4.32,scattered clouds,0.0,0.0
151,Sokur,RU,2022-04-01 17:25:13,55.2093,83.319,34.16,92,98,12.15,overcast clouds,0.0,0.0
152,Klyuchi,RU,2022-04-01 17:25:14,52.2667,79.1667,33.51,89,100,6.22,overcast clouds,0.0,0.0
153,Hervey Bay,AU,2022-04-01 17:25:15,-25.2986,152.8535,68.02,89,3,8.99,clear sky,0.0,0.0
154,Linxia,CN,2022-04-01 17:25:15,35.6003,103.2064,40.35,35,52,0.92,broken clouds,0.0,0.0
155,Nueva Germania,PY,2022-04-01 17:24:14,-23.9,-56.5667,70.9,36,89,3.78,overcast clouds,0.0,0.0
156,Isabela,PH,2022-04-01 17:25:17,6.7085,121.9711,79.84,84,97,0.96,overcast clouds,0.0,0.0
157,Gao,ML,2022-04-01 17:25:17,16.6362,1.637,101.32,2,99,7.67,overcast clouds,0.0,0.0
158,Kiryas Joel,US,2022-04-01 17:25:03,41.342,-74.1679,54.01,85,100,11.59,overcast clouds,0.0,0.0
159,Bambous Virieux,MU,2022-04-01 17:25:18,-20.3428,57.7575,77.25,94,75,17.27,light intensity shower rain,0.0,0.0
160,Cairns,AU,2022-04-01 17:25:18,-16.9167,145.7667,74.07,94,75,0.0,broken clouds,0.0,0.0
161,Constitucion,CL,2022-04-01 17:25:18,-35.3333,-72.4167,66.33,48,7,14.29,clear sky,0.0,0.0
162,Port Hardy,CA,2022-04-01 17:25:19,50.6996,-127.4199,44.78,76,75,0.0,broken clouds,0.0,0.0
163,Acapulco,MX,2022-04-01 17:21:44,16.8634,-99.8901,81.54,49,24,5.37,few clouds,0.0,0.0
164,Araouane,ML,2022-04-01 17:25:20,18.9048,-3.5265,93.79,8,100,7.92,overcast clouds,0.0,0.0
165,Gizo,SB,2022-04-01 17:25:20,-8.103,156.8419,82.15,76,100,10.65,light rain,0.0,0.0
166,Manokwari,ID,2022-04-01 17:25:20,-0.8667,134.0833,78.53,80,100,5.12,overcast clouds,0.0,0.0
167,Nhulunbuy,AU,2022-04-01 17:25:21,-12.2333,136.7667,77.61,88,1,0.0,clear sky,0.0,0.0
168,Margate,GB,2022-04-01 17:25:21,51.3813,1.3862,43.3,58,95,13.0,overcast clouds,0.0,0.0
169,Geraldton,AU,2022-04-01 17:25:22,-28.7667,114.6,75.61,73,100,8.05,overcast clouds,0.0,0.0
170,Sarkand,KZ,2022-04-01 17:25:22,45.41,79.9186,51.89,44,100,6.15,overcast clouds,0.0,0.0
171,Nova Vicosa,BR,2022-04-01 17:23:40,-17.8919,-39.3719,83.95,64,9,9.08,clear sky,0.0,0.0
172,Chauk,MM,2022-04-01 17:25:23,20.8833,94.8167,85.96,54,18,8.08,few clouds,0.0,0.0
173,Igarka,RU,2022-04-01 17:25:23,67.4667,86.5833,14.29,94,100,8.52,overcast clouds,0.0,0.0
174,Udachnyy,RU,2022-04-01 17:25:24,66.4167,112.4,14.45,72,100,8.84,overcast clouds,0.0,0.0
175,Hobyo,SO,2022-04-01 17:25:24,5.3505,48.5268,82.38,71,11,13.15,few clouds,0.0,0.0
176,Mehamn,NO,2022-04-01 17:25:24,71.0357,27.8492,28.31,88,100,12.28,light snow,0.0,0.0
177,Oistins,BB,2022-04-01 17:24:11,13.0667,-59.5333,86.09,58,20,21.85,few clouds,0.0,0.0
178,Machiques,VE,2022-04-01 17:25:25,10.0644,-72.545,91.69,46,54,3.8,broken clouds,0.0,0.0
179,Bubaque,GW,2022-04-01 17:25:26,11.2833,-15.8333,75.47,73,11,16.13,few clouds,0.0,0.0
